idA	idB	O	OHA	OHB	OLA	OLB	K
8752	49721	N	150	149	101	101	1
8752	99553	N	173	172	78	78	0
8752	1154	N	173	172	78	78	0
8752	59603	N	-36	-36	215	215	4
8752	77488	N	186	185	65	65	0
8752	69272	N	216	216	35	35	0
8752	46763	N	119	118	132	132	0
13088	93596	N	40	40	210	210	0
13088	43522	N	48	48	202	202	0
13088	7414	N	41	41	209	209	2
13088	44899	N	-35	-37	213	213	2
13088	103758	N	38	39	212	212	3
13088	68215	N	134	135	116	116	0
13088	100919	N	125	125	125	125	1
13088	57359	N	-193	-193	57	57	1
13088	26350	N	-227	-226	24	24	0
13088	80976	N	155	154	95	95	1
13088	50735	N	-41	-41	209	209	2
13088	67418	N	-70	-69	181	181	2
13088	15312	N	-35	-37	213	213	3
13088	7552	N	59	60	191	191	0
13088	27071	N	0	0	250	250	2
13088	36279	N	-39	-38	212	212	3
13088	28125	N	-188	-189	61	61	0
13088	47285	N	40	40	210	210	0
13088	33262	N	-193	-193	57	57	1
13088	42375	N	59	60	191	191	3
13088	60205	N	-147	-147	103	103	2
13088	32725	N	13	14	237	237	0
13088	107377	N	156	153	94	94	0
13088	61012	N	94	95	156	156	0
13088	85918	N	-85	-84	166	166	3
13088	35463	N	-223	-223	27	27	0
13088	5732	N	-194	-195	55	55	0
13088	91639	N	157	158	93	93	0
13088	106553	N	-35	-37	213	213	2
13088	16503	N	-106	-106	144	144	2
13088	30920	N	12	13	238	238	0
13088	36767	N	-43	-42	208	208	4
13088	94106	N	222	221	28	28	0
13088	9173	N	185	185	65	65	0
13088	64315	N	-145	-144	106	106	2
13088	97559	N	0	0	250	250	2
13088	31318	N	-33	-32	218	218	2
13088	33480	N	-6	-5	245	245	0
13088	71919	N	15	16	235	235	0
13088	12685	N	201	200	49	49	0
13088	20104	N	-147	-147	103	103	2
13088	77955	N	-209	-208	42	42	0
13088	14124	N	162	161	88	88	1
13088	47734	N	92	92	158	158	0
13088	31480	N	4	5	246	246	0
13088	30026	N	-147	-147	103	103	2
13088	83728	N	-109	-108	142	142	2
13088	24839	N	133	134	117	117	1
13088	39521	N	-96	-95	155	155	2
13088	32464	N	-126	-127	123	123	2
13088	49836	N	3	4	247	247	0
13088	1470	N	70	71	180	180	0
13088	9399	N	-37	-37	213	213	3
13088	43595	N	-6	-5	245	245	0
13088	2073	N	-105	-104	146	146	2
13088	57143	N	0	0	250	250	2
13088	84294	N	196	195	54	54	0
13088	93797	N	-126	-127	123	123	2
13088	74894	N	142	143	108	108	1
13088	11362	N	0	0	250	250	2
13088	84270	N	38	39	212	212	4
13088	27432	N	-110	-110	140	140	2
13088	47317	N	127	128	123	123	0
13088	78157	N	-225	-224	26	26	0
67625	29307	N	-72	-72	179	179	1
67625	84455	N	7	7	244	244	2
67625	88709	N	-91	-91	160	160	1
67625	26350	N	-231	-231	20	20	0
67625	45662	N	-4	-4	247	247	4
67625	71213	N	-169	-171	80	80	0
67625	75380	N	-42	-42	209	209	4
67625	65464	N	-113	-113	138	138	1
67625	33262	N	-197	-198	53	53	1
67625	104315	N	182	181	69	69	1
67625	66378	N	-41	-42	209	209	2
67625	6987	N	-41	-42	209	209	2
67625	35463	N	-227	-228	23	23	0
67625	5732	N	-198	-200	51	51	1
67625	34509	N	-72	-72	179	179	1
67625	70333	N	-198	-198	53	53	0
67625	20567	N	-112	-113	138	138	2
67625	89512	N	-45	-46	205	205	1
67625	36767	N	-47	-47	204	204	3
67625	24146	N	-161	-161	90	90	0
67625	46859	N	229	228	22	22	0
67625	22613	N	-41	-42	209	209	1
67625	82699	N	-178	-179	72	72	0
67625	36637	N	-44	-46	205	205	3
67625	45288	N	-199	-200	51	51	1
67625	55606	N	-39	-39	212	212	1
67625	77955	N	-213	-213	38	38	0
67625	105503	N	-199	-199	52	52	0
67625	96614	N	-44	-46	205	205	1
67625	25966	N	37	36	214	214	2
67625	69061	N	122	119	129	129	2
67625	65339	N	-45	-46	205	205	1
67625	66468	N	-110	-110	141	141	1
67625	17133	N	-172	-172	79	79	1
67625	4507	N	-43	-43	208	208	1
67625	78157	N	-229	-229	22	22	0
15199	105723	N	-111	-111	140	140	1
15199	33977	N	227	225	24	24	0
15199	67345	N	-161	-163	88	88	1
15199	64867	N	-133	-136	115	115	1
15199	27736	N	-41	-41	210	210	2
15199	106189	N	-168	-169	82	82	1
15199	83785	N	-179	-181	70	70	1
15199	82255	N	-74	-75	176	176	2
15199	80716	N	-13	-13	238	238	4
15199	93562	N	-26	-27	224	224	2
15199	46917	N	-69	-70	181	181	1
